compound_name,cell_line,exp_date,plate_cv,z_prime_factor,rse,rel_ec50
SN38,EICL_000V8,20221007,11.428490780092012,0.6804023925957158,6.9041139461654595,0.0027017348847411765
5-FU,EICL_000V8,20221007,16.72633471150949,0.6354496437366236,14.105782100831377,3.0174190393837854
5-FU CAF-CM,US,20231204,11.381981618263394,0.629008984840293,4.570212485428856,5.0066086840235345e-5
CTX,US,20220912,24.754263196187498,0.025654266725037456,NA,NA
untreated CAF-CM,US,20230918,20.448619222279206,0.387006197402341,NA,NA
STA CAF-CM,US,20230918,20.448619222279206,0.387006197402341,NA,NA
untreated CAF-CM,US,20231016,26.668814649534852,0.6438735119973007,NA,NA
STA CAF-CM,US,20231016,26.668814649534852,0.6438735119973007,NA,NA
untreated CAF-CM,US,20231023,14.512321695311067,0.5142174111354811,NA,NA
STA CAF-CM,US,20231023,14.512321695311067,0.5142174111354811,NA,NA
STA CAF-CM,US,20231127,21.622512165988944,-1.5182659462918666,NA,NA
untreated CAF-CM,US,20231127,21.622512165988944,-1.5182659462918666,NA,NA
STA CAF-CM,US,20231127,41.55202100409448,-2.2813268054462963,NA,NA
untreated CAF-CM,US,20231127,41.55202100409448,-2.2813268054462963,NA,NA
STA CAF-CM,US,20231204,11.381981618263394,0.629008984840293,NA,NA
untreated CAF-CM,US,20231204,11.381981618263394,0.629008984840293,NA,NA
5-FU CAF-CM,US,20231204,11.381981618263394,0.629008984840293,NA,NA
STA CAF-CM,US,20231204,13.614068439696641,0.7117307568394728,NA,NA
untreated CAF-CM,US,20231204,13.614068439696641,0.7117307568394728,NA,NA
STA CAF-CM,US,20231211,13.788597531097958,0.7513078502147572,NA,NA
untreated CAF-CM,US,20231211,13.788597531097958,0.7513078502147572,NA,NA
STA CAF-CM,US,20231211,24.034022360576497,0.5926539303599714,NA,NA
untreated CAF-CM,US,20231211,24.034022360576497,0.5926539303599714,NA,NA
STA CAF-CM,US,20231211,12.745741538011705,0.6807156479778167,NA,NA
untreated CAF-CM,US,20231211,12.745741538011705,0.6807156479778167,NA,NA
STA CAF-CM,US,20231211,13.929487601907336,0.6099135334286485,NA,NA
untreated CAF-CM,US,20231211,13.929487601907336,0.6099135334286485,NA,NA
STA CAF-CM,US,202401085,18.98555365013657,0.2434322867067652,NA,NA
untreated CAF-CM,US,202401085,18.98555365013657,0.2434322867067652,NA,NA
5-FU,US,20221028,38.68129641444262,NA,NA,NA
SN38,US,20221028,38.68129641444262,NA,NA,NA
5-FU,US,20221104,18.638743987617417,NA,NA,NA
SN38,US,20221104,18.638743987617417,NA,NA,NA
5-FU,US,20221104,21.283349016130963,NA,NA,NA
SN38,US,20221104,21.283349016130963,NA,NA,NA
5-FU,UP,20221104,12.07556260763032,NA,NA,NA
